idx,タスク,概要,url
0,Semantic Segmentation(セマンティックセグメンテーション),セマンティックセグメンテーションは、画像内の各ピクセルをクラスまたはオブジェクトに分類することを目標とするコンピュータービジョンタスクです。,https://paperswithcode.com/task/semantic-segmentation
1,Object Detection(オブジェクトの検出),オブジェクトの検出は、目標が画像またはビデオで関心のあるオブジェクトを検出して見つけることであるコンピュータービジョンタスクです。,https://paperswithcode.com/task/object-detection
2,Image Classification(画像分類),画像分類は、画像全体を全体として理解しようとする基本的なタスクです。,https://paperswithcode.com/task/image-classification
3,Pose Estimation(推定のポーズ),ポーズ推定は、人またはオブジェクトの位置と方向を検出することを目標とするコンピュータービジョンタスクです。,https://paperswithcode.com/task/pose-estimation
4,Face Recognition(顔認識),顔認識は、既存の顔のデータベースに対して写真またはビデオ画像で顔を肯定的に識別するタスクです。,https://paperswithcode.com/task/face-recognition
5,Visual Question Answering (VQA)(視覚的な質問応答（VQA）),視覚的な質問応答（VQA）は、画像に関する質問への回答を含むコンピュータービジョンのタスクです。,https://paperswithcode.com/task/visual-question-answering
6,Image Retrieval(画像検索),画像検索は、特定のクエリ画像に似た大規模なデータベース内の画像を検索することを含むコンピュータービジョンタスクです。,https://paperswithcode.com/task/image-retrieval
7,Depth Estimation(深度推定),深さの推定は、カメラに対する各ピクセルの距離を測定するタスクです。,https://paperswithcode.com/task/depth-estimation
8,Instance Segmentation(インスタンスセグメンテーション),インスタンスセグメンテーションは、各オブジェクトの境界を検出したり、各オブジェクトに一意のラベルを割り当てるなど、画像内の個々のオブジェクトを識別および分離することを含むコンピュータービジョンタスクです。,https://paperswithcode.com/task/instance-segmentation
9,Image Generation(画像生成),ドラゴン,https://paperswithcode.com/task/image-generation
10,Question Answering(質問に答える),質問の回答は、質問に答えるタスク（通常は読解質問の質問）ですが、提供されたコンテキストに基づいて回答できない質問が提示された場合に棄権します。,https://paperswithcode.com/task/question-answering
11,Optical Character Recognition (OCR)(光学文字認識（OCR）),光学キャラクター認識または光学文字リーダー（OCR）は、スキャンされたドキュメント、ドキュメントの写真、シーンフォト（例えば、機械にエンコードされたテキストへのタイプ化された、手書きまたは印刷されたテキストの画像の電子的または機械的変換）です。,https://paperswithcode.com/task/optical-character-recognition
12,Image Captioning(画像キャプション),画像キャプションは、言葉で画像の内容を記述するタスクです。,https://paperswithcode.com/task/image-captioning
13,Domain Adaptation(ドメインの適応),ナンがあります,https://paperswithcode.com/methods/category/domain-adaptation
14,Person Re-Identification(人の再識別),人の再識別とは、ビデオまたは画像シーケンスのさまざまなカメラや場所で人の身元を一致させることを目標とするコンピュータービジョンタスクです。,https://paperswithcode.com/task/person-re-identification
15,Autonomous Driving(自律運転),自律運転は、人間の伝導なしで車両を運転するタスクです。,https://paperswithcode.com/task/autonomous-driving
16,Face Detection(顔検出),フェイス検出は、デジタル画像やビデオ内の人間の顔を自動的に識別して見つけることを伴うコンピュータービジョンタスクです。,https://paperswithcode.com/task/face-detection
17,2D Semantic Segmentation(2Dセマンティックセグメンテーション),このタスクには説明がありません！,https://paperswithcode.com/task/2d-semantic-segmentation
18,Fine-Grained Image Classification(細粒の画像分類),微調整された画像分類は、コンピュータービジョンのタスクであり、目標は画像をより大きなカテゴリ内のサブカテゴリに分類することです。,https://paperswithcode.com/task/fine-grained-image-classification
19,Image Super-Resolution(画像超解像度),画像の超解像度は、多くの場合、コンテンツと詳細を可能な限り維持しながら、多くの場合4倍以上の画像の解像度を増やすことを目標とする機械学習タスクです。,https://paperswithcode.com/task/image-super-resolution
20,Data Augmentation(データ増強),データ増強には、さまざまな変更に基づいてデータの量を増やすために使用される手法が含まれ、元のデータセットの例の量を拡大します。,https://paperswithcode.com/task/data-augmentation
21,Object Recognition(オブジェクト認識),オブジェクト認識は、画像やビデオのオブジェクトの分類を検出するためのコンピュータービジョン技術です。,https://paperswithcode.com/task/object-recognition
22,Action Recognition(アクション認識),アクション認識は、ビデオや画像の人間の行動を認識することを含むコンピュータービジョンタスクです。,https://paperswithcode.com/task/action-recognition-in-videos
