idx,タスク,概要,url
0,Action Recognition(アクション認識),アクション認識は、ビデオや画像の人間の行動を認識することを含むコンピュータービジョンタスクです。,https://paperswithcode.com/task/action-recognition-in-videos
1,Temporal Action Localization(一時的なアクションローカリゼーション),一時的なアクションローカリゼーションは、ビデオストリームのアクティビティと出力の開始および終了タイムスタンプを検出することを目的としています。,https://paperswithcode.com/task/action-recognition
2,Object Detection(オブジェクトの検出),オブジェクトの検出は、目標が画像またはビデオで関心のあるオブジェクトを検出して見つけることであるコンピュータービジョンタスクです。,https://paperswithcode.com/task/object-detection
3,Object Tracking(オブジェクト追跡),オブジェクトトラッキングは、オブジェクト検出の初期セットを取得し、初期検出のそれぞれに一意のIDを作成し、ビデオ内のフレームを動き回ってID割り当てを維持しながら各オブジェクトを追跡するタスクです。,https://paperswithcode.com/task/object-tracking
4,Video Understanding(ビデオ理解),ビデオ理解の重要なタスクは、ビデオに表示されるさまざまなアクションまたはイベントを（空間と時間で）認識してローカライズすることです。,https://paperswithcode.com/task/video-understanding
5,Pose Estimation(推定のポーズ),ポーズ推定は、人またはオブジェクトの位置と方向を検出することを目標とするコンピュータービジョンタスクです。,https://paperswithcode.com/task/pose-estimation
6,Video Question Answering(ビデオ質問の回答),ビデオ質問応答（VideoQA）は、指定されたビデオに従って自然言語の質問に答えることを目指しています。,https://paperswithcode.com/task/video-question-answering
7,Video Retrieval(ビデオ検索),ビデオ取得の目的は次のとおりです。テキストクエリと候補ビデオのプールを与えられた場合、テキストクエリに対応するビデオを選択します。,https://paperswithcode.com/task/video-retrieval
8,Multi-Object Tracking(マルチオブジェクト追跡),マルチオブジェクトトラッキングは、ビデオシーケンス内で複数のオブジェクトの検出と追跡を伴うコンピュータービジョンのタスクです。,https://paperswithcode.com/task/multi-object-tracking
9,Video Captioning(ビデオキャプション),ビデオキャプションは、ビデオのアクションとイベントをテキストを効率的に取得するのに役立つ可能性のあるビデオのアクションとイベントを理解することにより、ビデオを自動キャプションするタスクです。,https://paperswithcode.com/task/video-captioning
10,Action Classification(アクション分類),画像ソース：Kinetics Human Action Video Dataset,https://paperswithcode.com/task/action-classification
11,Action Detection(アクション検出),このタスクには説明がありません！,https://paperswithcode.com/task/action-detection
12,Semantic Segmentation(セマンティックセグメンテーション),セマンティックセグメンテーションは、画像内の各ピクセルをクラスまたはオブジェクトに分類することを目標とするコンピュータービジョンタスクです。,https://paperswithcode.com/task/semantic-segmentation
13,Question Answering(質問に答える),質問の回答は、質問に答えるタスク（通常は読解質問の質問）ですが、提供されたコンテキストに基づいて回答できない質問が提示された場合に棄権します。,https://paperswithcode.com/task/question-answering
14,Visual Question Answering (VQA)(視覚的な質問応答（VQA）),視覚的な質問応答（VQA）は、画像に関する質問への回答を含むコンピュータービジョンのタスクです。,https://paperswithcode.com/task/visual-question-answering
15,Action Recognition In Videos(ビデオでのアクション認識),ビデオのアクション認識は、ビデオシーケンスで実行される人間のアクションを特定して分類することであるコンピュータービジョンとパターン認識のタスクです。,https://paperswithcode.com/task/action-recognition-in-videos-2
16,Activity Recognition(アクティビティ認識),人間の活動認識は、ビデオ入力を与えられた人間によって実行されたイベントを特定する問題です。,https://paperswithcode.com/task/activity-recognition
17,Video Prediction(ビデオ予測),ビデオ予測は、過去のビデオフレームが与えられた将来のフレームを予測するタスクです。,https://paperswithcode.com/task/video-prediction
18,Visual Object Tracking(視覚的なオブジェクト追跡),視覚オブジェクト追跡は、コンピュータービジョン、画像理解、パターン認識における重要な研究トピックです。,https://paperswithcode.com/task/visual-object-tracking
19,Skeleton Based Action Recognition(スケルトンベースのアクション認識),スケルトンベースのアクション認識は、Microsoft Kinect、Intel RealSense、ウェアラブルデバイスなどのセンサーからキャプチャされた一連の3D骨格ジョイントデータから人間のアクションを認識することを含むコンピュータービジョンタスクです。,https://paperswithcode.com/task/skeleton-based-action-recognition
20,Speech Recognition(音声認識),ナンがあります,https://paperswithcode.com/methods/category/speech-recognition
21,Video Classification(ビデオ分類),ビデオ分類は、フレームを考慮してビデオに関連するラベルを作成するタスクです。,https://paperswithcode.com/task/video-classification
22,Video Object Segmentation(ビデオオブジェクトセグメンテーション),ビデオオブジェクトのセグメンテーションは、ビデオの背景領域から前景オブジェクトを分離することを目的としたバイナリラベリングの問題です。,https://paperswithcode.com/task/video-object-segmentation
23,Visual Tracking(視覚追跡),視覚追跡は、ロボットサービス、スマートサーベイランスシステム、自律運転、人間のコンピューターの相互作用など、さまざまな現実世界のアプリケーションを備えたコンピュータービジョンの分野における重要な積極的に研究された問題です。,https://paperswithcode.com/task/visual-tracking
24,DeepFake Detection(ディープフェイク検出),DeepFake検出は、ディープラーニングテクニックを使用して生成された偽のビデオまたは画像を検出するタスクです。,https://paperswithcode.com/task/deepfake-detection
25,Person Re-Identification(人の再識別),人の再識別とは、ビデオまたは画像シーケンスのさまざまなカメラや場所で人の身元を一致させることを目標とするコンピュータービジョンタスクです。,https://paperswithcode.com/task/person-re-identification
26,Facial Expression Recognition (FER)(表情表現認識（FER）),表情表現認識（FER）は、人間の顔に描かれた感情的な表現を特定して分類することを目的としたコンピュータービジョンタスクです。,https://paperswithcode.com/task/facial-expression-recognition
27,3D Human Pose Estimation(3Dヒューマンポーズ推定),3Dヒューマンポーズ推定は、2D画像またはビデオからの体調と骨の3D位置と方向を推定することを含むコンピュータービジョンタスクです。,https://paperswithcode.com/task/3d-human-pose-estimation
28,Action Segmentation(アクションセグメンテーション),アクションセグメンテーションは、高レベルのビデオ理解における困難な問題です。,https://paperswithcode.com/task/action-segmentation
29,Sign Language Recognition(手話の認識),手話の認識とは、手話のジェスチャーを書かれた言語または音声言語に自動的に認識して翻訳することを含む、コンピュータービジョンと自然言語処理タスクです。,https://paperswithcode.com/task/sign-language-recognition
30,Trajectory Prediction(軌跡予測),軌道予測は、車、バス、歩行者、人力車、動物などのさまざまな道路材の短期（1〜3秒）および長期（3〜5秒）の空間座標を予測する問題です。,https://paperswithcode.com/task/trajectory-prediction
31,Autonomous Driving(自律運転),自律運転は、人間の伝導なしで車両を運転するタスクです。,https://paperswithcode.com/task/autonomous-driving
32,Human-Object Interaction Detection(ヒトとオブジェクトの相互作用検出),ヒトとオブジェクトの相互作用（HOI）検出は、イメージの「相互作用のセット」を識別するタスクです。,https://paperswithcode.com/task/human-object-interaction-detection
33,Video Summarization(ビデオの要約),ビデオの要約は、最も有益で重要な部分を選択することにより、ビデオコンテンツを要約する短い概要を生成することを目的としています。,https://paperswithcode.com/task/video-summarization
34,Zero-Shot Learning(ゼロショット学習),Zero-Shot Learning（ZSL）は、トレーニング中に見られなかったクラスを検出するモデルの能力です。,https://paperswithcode.com/task/zero-shot-learning
35,Activity Detection(アクティビティ検出),拡張ビデオでのアクティビティの検出。,https://paperswithcode.com/task/activity-detection
36,Anomaly Detection(異常検出),異常検出は、データセット内の異常なパターンまたは予期しないパターンを識別するバイナリ分類であり、データの大部分から大幅に逸脱します。,https://paperswithcode.com/task/anomaly-detection
